@id, @lon, @lat, name, addr:street, addr:housenumber, addr:city, addr:country, opening_hours, website, phone
5286112857, 21.4111987, 42.0056203, Granap Market, , , , , , , 
5286344031, 21.4120961, 42.0033328, , , , , , , , 
5286344033, 21.4120699, 42.0032276, , , , , , , , 
5286344034, 21.4123655, 42.0031880, , , , , , , , 
5286344035, 21.4123909, 42.0032928, , , , , , , , 
5286344036, 21.4123771, 42.0032358, , , , , , , , 
5296310532, 21.3953101, 42.0043882, , , , , , , , 
5323697760, 21.3842555, 42.0079128, Гранап, , , , , , https://www.facebook.com/GranapMarket/, 
5598215760, 21.3930540, 42.0065872, Vero, Манапо, , , , , , 
5841674941, 21.4220152, 41.9990831, Tinex, , , , , , , 
5851203763, 21.4159259, 41.9931980, Gramofon Vinyl Macedonia Makedonija, Васил Ѓоргов, BB, Cкoпje, , Mo-Sa 12:00-20:00, , 
6054048493, 21.4199363, 41.9966577, , , , , , , , 
6054048690, 21.4149954, 41.9984569, , , , , , , , 
6054048698, 21.4259798, 42.0011184, , , , , , , , 
6054048724, 21.4177897, 41.9994766, Маркет фратели, , , , , , , 
6054048727, 21.4126908, 42.0004371, , , , , , , , 
6054048729, 21.4119116, 41.9967281, , , , , , , , 
6054049801, 21.4129384, 41.9994288, , , , , , , , 
6054050787, 21.4187447, 41.9992364, Ројал, , , , , , , 
6145381754, 21.3818169, 42.0067318, Tinex, , , , , , , 
6655621425, 21.4089683, 41.9978906, Super Tinex, , , , , Mo-Su 08:00-22:00, , 
6814246387, 21.4189761, 42.0015821, T market, , , , , , , 
6827074190, 21.4213409, 41.9994318, Stokomak, , , , , , , 
6827074191, 21.4224806, 41.9989821, Swisslion, , , , , , , 
6875432285, 21.4254128, 42.0046987, , , , , , , , 
1000000032490361, 21.4048578, 41.9970061, Веро 2, Mitropolit Teodosij Gologanov, 76, Cкoпje, MK, 08:00-22:00, https://vero.com.mk/Marketi/Vero2, +389 2 3075747
1000000032530189, 21.3902944, 42.0011559, СП Маркет Тафталиџе, Московска, 15, Cкoпje, MK, Mo-Su 07:00-22:00, http://www.spmarket.com.mk, +389 2 3051818
1000000032530316, 21.3951135, 42.0042355, Тинекс маркет, , , Cкoпje, MK, , , 
1000000174144792, 21.4079449, 42.0029704, Tinex, , , Cкoпje, MK, , , 
1000000411111681, 21.3876478, 41.9999378, Super Tediko, , , , , , , 
1000000455712852, 21.4167805, 41.9930588, Ramstor, , , , , , , 
1000000542428719, 21.3863951, 42.0054375, Zur Market, , , , , , , 
1000000546659780, 21.3885640, 42.0079593, Tinex 4, , , , , , , 
1000000547102982, 21.4122303, 42.0032604, ЗУР Маркет, , , , , , , 
